,Date_reported,Country,y_cases,y_deaths,Cumulative_cases,Cumulative_deaths,Total_Existed,total_tests,School_closing,Workplace_closing,public_events,Stay_at_home,travel_controls,Travel_Ban_Condition,Restaurant_Restriction
142,2020-05-24,Australia,70.0,-1.0,7106.0,102.0,583.0,32533,2,1,2,1,4,1,1
143,2020-05-25,Australia,65.0,-1.0,7109.0,102.0,574.0,19405,2,1,2,1,4,1,1
144,2020-05-26,Australia,61.0,-1.0,7118.0,102.0,579.0,44023,2,1,2,1,4,1,1
145,2020-05-27,Australia,46.0,-1.0,7133.0,102.0,571.0,50098,2,1,2,1,4,1,1
146,2020-05-28,Australia,38.0,0.0,7139.0,103.0,589.0,29123,2,1,2,1,4,1,1
147,2020-05-29,Australia,45.0,0.0,7150.0,103.0,579.0,30178,2,1,2,0,4,1,1
148,2020-05-30,Australia,39.0,0.0,7173.0,103.0,578.0,30916,2,1,2,0,4,1,1
149,2020-05-31,Australia,47.0,0.0,7185.0,103.0,584.0,26030,2,1,2,0,4,1,1
150,2020-06-01,Australia,60.0,0.0,7195.0,103.0,595.0,17652,2,1,2,0,4,1,1
151,2020-06-02,Australia,70.0,0.0,7204.0,103.0,593.0,18167,2,1,2,0,4,1,1
152,2020-06-03,Australia,80.0,0.0,7221.0,103.0,592.0,22313,2,1,2,0,4,1,1
153,2020-06-04,Australia,103.0,0.0,7229.0,102.0,564.0,33629,2,1,2,0,4,1,1
154,2020-06-05,Australia,106.0,0.0,7240.0,102.0,564.0,32863,2,1,2,0,4,1,1
155,2020-06-06,Australia,119.0,0.0,7251.0,102.0,556.0,11396,2,1,2,0,4,1,1
156,2020-06-07,Australia,134.0,0.0,7255.0,102.0,559.0,26874,2,1,2,0,4,1,1
157,2020-06-08,Australia,141.0,0.0,7260.0,102.0,547.0,16053,2,1,2,0,4,1,0
158,2020-06-09,Australia,139.0,0.0,7265.0,102.0,534.0,17169,0,1,2,0,4,1,0
159,2020-06-10,Australia,145.0,0.0,7267.0,102.0,526.0,29270,0,1,2,0,4,1,0
160,2020-06-11,Australia,151.0,1.0,7267.0,102.0,507.0,31269,0,1,2,0,4,1,0
161,2020-06-12,Australia,167.0,2.0,7285.0,102.0,491.0,34327,0,1,1,0,4,1,0
162,2020-06-13,Australia,186.0,2.0,7290.0,102.0,482.0,37101,0,1,1,0,4,1,0
163,2020-06-14,Australia,205.0,2.0,7302.0,102.0,484.0,29702,0,1,1,0,4,1,0
